status,image_file,current_alt,new_alt,page,edit_at,loading
decorative,src/assets/images/pages/payroll/earth-hour-1.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/holding-money.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/salary-1.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/credit-card-1.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/workers-discussion.jpg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/tax/6570643_annual_cost_fee_legal_money_icon-1.svg,,,/construction-tax-services/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/tax/6570641_annual_calculate_cost_data_payment_icon-1.svg,,,/construction-tax-services/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/tax/6570638_annual_cost_fee_legal_money_icon-1.svg,,,/construction-tax-services/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/tax/6570644_annual_data_document_fee_legal_icon-1.svg,,,/construction-tax-services/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/tax/6570650_annual_calculate_data_document_fee_icon-1.svg,,,/construction-tax-services/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/tax/6570652_management_icon-1.svg,,,/construction-tax-services/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/getting-started/person-with-laptop-icon.svg,,,/getting-started/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/getting-started/book-a-call-icon.svg,,,/getting-started/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/getting-started/rocket-icon.svg,,,/getting-started/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/hvac/HVAC-Accounting-Team.webp,,,/hvac-accounting/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/Construction-icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/Plumbers-icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/Electricians-icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/HVAC-icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/Solar-icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/9940263_drill_construction_industry_machine_technology_icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/Caution-sign-icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/9940261_stone_brick_cement_construction_building_icon.svg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/6570711_education_from_home_learning_online_icon.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/9264941_software_computer-application_app_icon-1.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/7055165_meeting_consultation_partnership_communication_brainstorm_icon-1.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/7055172_analysis_consultation_advise_work_brainstorm_icon.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/6599578_e-learning_education_evaluation_exam_online_icon-1.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/63a6d72cc7b1440d241043c2_cpu-1.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/63a70d3becd826b524c4f019_6570711_education_from_home_learning_online_icon-1.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/why-different/tax-1-1.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
